map_ID	nPosX	nPosY
333	1414	2871
333	1423	2881
333	1409	2877
333	1419	2885
333	1416	2877
333	1447	2928
333	1458	2925
333	1450	2935
333	1439	2941
333	1455	2949
333	1466	2944
333	1473	2940
333	1477	2960
333	1468	2969
333	1461	2979
333	1481	2979
333	1485	2991
333	1479	3001
333	1477	3011
333	1482	3022
333	1491	3029
333	1492	3020
333	1506	3001
333	1513	3008
333	1516	3017
333	1511	3031
333	1533	3017
333	1541	3020
333	1545	3032
333	1558	3024
333	1562	3013
333	1553	2993
333	1546	2980
333	1538	2970
333	1531	2962
333	1520	2969
333	1521	2949
333	1520	2938
333	1509	2935
333	1508	2913
333	1516	2903
333	1521	2892
333	1529	2897
333	1531	2885
333	1540	2892
333	1520	2853
333	1509	2840
333	1498	2848
333	1488	2852
333	1486	2866
333	1488	2884
333	1420	2995
333	1422	2984
333	1430	2982
333	1431	2999
333	1444	2986
333	1449	2975
333	1470	3076
333	1477	3061
333	1486	3053
333	1487	3049
333	1498	3050
333	1503	3044
333	1497	3039
